78;;;;;"AC FUG005";;;;;"FUSIBLE PROTECTIVE LINK 592B581G05";;;;;"99.90";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
79;;;;;"AC FUG03";;;;;"FUSIBLE PROTECTIVE LINK 779C667G03";;;;;"106.40";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
80;;;;;"AC FUG04";;;;;"FUSIBLE PROTECTIVE LINK 592B581G04";;;;;"110.48";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
81;;;;;"AC FUG05";;;;;"FUSIBLE PROTECTIVE LINK 779C667G05";;;;;"349.70";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
82;;;;;"AC FUG06";;;;;"FUSIBLE PROTECTIVE LINK 779C667G06";;;;;"349.70";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
83;;;;;"AC FUG08";;;;;"FUSIBLE PROTECTIVE LINK G08";;;;;"246.40";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
84;;;;;"AC FUG09";;;;;"FUSIBLE PROTECTIVE LINK 592B581G09";;;;;"106.40";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
85;;;;;"AC FUG13";;;;;"FUSIBLE PROTECTIVE LINK G13";;;;;"112.00";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
86;;;;;"AC FUG29";;;;;"FUSIBLE PROTECTIVE LINK G29";;;;;"302.40";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
87;;;;;"AC FUN NX";;;;;"FUNDA NX 8.3 KV RANGO COMPLETO";;;;;"2704.63";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
88;;;;;"AC FURC-20";;;;;"FUSIBLE RANGO COMP. 20A 8.3KV";;;;;"550.00";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
89;;;;;"AC FURC-30";;;;;"FUSIBLE RANGO COMP. 30A 8.3KV";;;;;"623.70";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
90;;;;;"AC FURC50";;;;;"FUSIBLE RANGO COMP. 50A 8.3KV";;;;;"623.70";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
91;;;;;"AC FURC502";;;;;"FUSIBLE RANGO COMP. 50A 15.5KV";;;;;"720.00";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
92;;;;;"AC GUARD";;;;;"GUARDA GOTEO BAYONET";;;;;"39.18";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
